,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
50,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
51,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
52,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
53,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
54,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
55,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
56,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
57,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
58,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
59,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
60,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
61,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
62,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
63,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
64,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
65,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
